ID,RA,DEC,REGION,t25,t50,t75,g25,g50,g75,m25,m50,m75,a25,a50,a75,v25,v50,v75
2M05350742+0958224,83.78093,9.972896,lambdaOrion,3314.0,3324.0,3383.0,3.43,3.46,3.56,-0.29,-0.26,-0.22,-0.07,-0.06,-0.04,15.89,16.57,18.22
2M05350833+0942537,83.784739,9.714943,lambdaOrion,4620.0,4624.0,4705.0,3.79,3.82,3.87,-0.13,-0.12,-0.1,0.05,0.06,0.07,33.87,34.04,34.43
2M05350955+0932091,83.789794,9.535882,lambdaOrion,4431.0,4439.0,4514.0,3.82,3.84,3.92,-0.11,-0.1,-0.07,0.02,0.03,0.05,15.33,15.44,16.08
2M05351606+0953374,83.816936,9.893747,lambdaOrion,3519.0,3527.0,3580.0,3.83,3.87,3.95,0.0,0.01,0.05,-0.07,-0.06,-0.03,14.46,14.85,15.85
2M05351717+0951114,83.821545,9.85318,lambdaOrion,3530.0,3548.0,3660.0,3.75,3.78,3.86,-0.06,0.0,0.03,-0.09,-0.07,-0.04,14.58,14.85,15.95
2M05351857+0944058,83.827403,9.734958,lambdaOrion,3506.0,3531.0,3588.0,3.57,3.67,3.83,-0.29,-0.21,-0.12,-0.1,-0.09,-0.07,29.68,31.33,33.99
2M05352216+0953586,83.842338,9.899629,lambdaOrion,3454.0,3516.0,3593.0,3.66,3.74,3.89,-0.17,-0.12,-0.01,-0.06,-0.05,0.0,41.5,42.68,43.75
2M05352219+0952275,83.842465,9.874318,lambdaOrion,3873.0,3881.0,3951.0,4.01,4.07,4.11,-0.11,-0.07,-0.05,-0.08,-0.07,-0.05,15.6,16.16,18.15
2M05352413+0918326,83.85055,9.309062,lambdaOrion,4090.0,4119.0,4184.0,4.08,4.18,4.25,-0.07,0.02,0.04,-0.04,-0.03,0.02,14.9,15.17,16.36
2M05352561+1011005,83.856732,10.183495,lambdaOrion,3325.0,3338.0,3392.0,3.38,3.4,3.53,-0.24,-0.22,-0.18,-0.11,-0.11,-0.09,42.84,43.96,44.61
2M05352897+0935210,83.870724,9.589171,lambdaOrion,4314.0,4321.0,4369.0,4.08,4.1,4.16,-0.04,-0.03,0.01,-0.01,-0.01,0.01,14.43,14.53,15.0
2M05353483+1000352,83.89515,10.0098,lambdaOrion,3669.0,3731.0,3773.0,3.75,3.85,4.0,-0.27,-0.21,-0.15,-0.09,-0.07,-0.05,16.97,19.15,19.83
2M05355133+0955112,83.963903,9.919791,lambdaOrion,3531.0,3550.0,3603.0,3.59,3.72,3.8,-0.2,-0.05,0.0,-0.1,-0.09,-0.07,19.79,20.67,22.9
2M05355709+0946525,83.987875,9.781274,lambdaOrion,3356.0,3371.0,3430.0,3.52,3.55,3.63,-0.29,-0.23,-0.2,-0.08,-0.08,-0.06,14.57,14.75,16.03
2M05360288+0942074,84.012018,9.702083,lambdaOrion,3934.0,3973.0,4079.0,4.06,4.14,4.28,-0.11,-0.07,0.02,-0.08,-0.07,-0.03,16.13,17.47,18.99
2M05360931+0947027,84.038824,9.784093,lambdaOrion,3250.0,3264.0,3324.0,3.56,3.64,3.79,-0.03,0.02,0.14,-0.09,-0.08,-0.06,14.32,14.58,15.46
2M05361857+0945089,84.077397,9.752475,lambdaOrion,4470.0,4477.0,4557.0,3.81,3.84,3.94,-0.12,-0.12,-0.09,0.04,0.05,0.07,20.96,21.1,21.74
2M05362019+0944018,84.084163,9.733855,lambdaOrion,3610.0,3659.0,3729.0,3.66,3.71,3.78,-0.13,-0.08,-0.01,-0.11,-0.1,-0.08,19.01,19.22,20.2
2M05362051+0952191,84.085469,9.871997,lambdaOrion,3916.0,3940.0,4016.0,3.91,4.04,4.12,-0.13,-0.09,-0.04,-0.09,-0.08,-0.05,19.3,19.64,20.63
2M05363981+0907156,84.165901,9.121009,lambdaOrion,4460.0,4472.0,4507.0,3.78,3.82,3.84,-0.08,-0.07,-0.06,0.02,0.03,0.05,29.95,30.12,30.78
2M05364710+1005517,84.196284,10.097712,lambdaOrion,3863.0,3871.0,3936.0,4.1,4.16,4.18,-0.14,-0.09,-0.08,-0.08,-0.07,-0.05,15.39,16.07,17.56
2M05365267+0952563,84.219484,9.882313,lambdaOrion,3348.0,3388.0,3493.0,3.48,3.69,3.92,-0.36,-0.19,-0.07,-0.09,-0.08,-0.03,24.63,27.64,31.38
2M05370084+0949045,84.253517,9.81792,lambdaOrion,4627.0,4644.0,4703.0,3.72,3.74,3.82,-0.05,-0.04,-0.02,0.01,0.04,0.05,33.07,33.28,33.6
2M05371260+0930331,84.302529,9.509214,lambdaOrion,3864.0,3871.0,3928.0,4.12,4.15,4.17,-0.09,-0.07,-0.04,-0.07,-0.06,-0.04,14.78,14.98,16.36
2M05375369+0955122,84.473722,9.920081,lambdaOrion,3515.0,3521.0,3570.0,3.88,3.91,3.93,-0.06,0.0,0.01,-0.07,-0.06,-0.04,13.11,14.19,14.6
2M05375962+0948336,84.498429,9.809361,lambdaOrion,3532.0,3557.0,3654.0,3.63,3.74,3.81,-0.18,-0.1,0.0,-0.1,-0.09,-0.05,40.68,42.74,44.02
2M05383060+0928054,84.627526,9.468173,lambdaOrion,3819.0,3837.0,3903.0,3.9,3.94,4.04,-0.08,-0.06,-0.03,-0.09,-0.09,-0.06,15.21,15.49,17.04
2M05383666+1017087,84.652763,10.285758,lambdaOrion,3319.0,3352.0,3407.0,3.48,3.58,3.73,-0.18,-0.11,0.0,-0.12,-0.11,-0.09,14.82,15.11,16.61
2M05384016+0937573,84.667348,9.632602,lambdaOrion,3781.0,3849.0,3887.0,4.11,4.18,4.23,-0.08,-0.06,-0.01,-0.07,-0.06,-0.03,15.72,16.15,17.73
2M05392102+0931221,84.837616,9.522813,lambdaOrion,3972.0,4024.0,4095.0,3.9,4.0,4.08,-0.11,-0.08,-0.04,-0.07,-0.05,-0.02,14.76,15.04,15.8
2M05403062+0920387,85.127598,9.344102,lambdaOrion,4535.0,4545.0,4617.0,3.83,3.9,4.0,-0.11,-0.1,-0.07,0.05,0.07,0.09,18.89,19.03,19.3
2M05403462+0922046,85.144257,9.36796,lambdaOrion,4107.0,4131.0,4181.0,3.87,4.13,4.19,-0.08,0.04,0.06,-0.05,-0.04,0.01,13.97,14.46,15.08
2M05413168+1010264,85.382003,10.174005,lambdaOrion,3668.0,3736.0,3780.0,3.63,3.68,3.73,-0.2,-0.17,-0.15,-0.09,-0.08,-0.05,39.81,42.83,44.34
2M05414484+0913061,85.436854,9.218362,lambdaOrion,3777.0,3828.0,3860.0,3.7,3.75,3.78,-0.22,-0.19,-0.17,-0.07,-0.06,-0.03,33.92,34.38,35.18
2M05415231+0940189,85.467982,9.671935,lambdaOrion,3365.0,3427.0,3460.0,3.41,3.44,3.55,-0.3,-0.28,-0.25,-0.07,-0.06,-0.02,29.83,30.62,32.26
2M05431537+0929309,85.814067,9.491939,lambdaOrion,3876.0,3892.0,3951.0,4.11,4.16,4.18,-0.12,-0.08,-0.07,-0.06,-0.05,-0.03,14.43,14.55,15.4
2M05435234+0917005,85.968092,9.283478,lambdaOrion,3228.0,3260.0,3334.0,3.08,3.17,3.38,-0.51,-0.48,-0.38,-0.06,-0.05,-0.02,29.01,29.64,30.82
2M05440208+0915374,86.008688,9.2604,lambdaOrion,3454.0,3465.0,3528.0,3.5,3.52,3.66,-0.17,-0.11,-0.08,-0.08,-0.07,-0.05,19.36,19.68,20.61
2M05441064+0912451,86.044365,9.212548,lambdaOrion,4425.0,4468.0,4561.0,4.17,4.25,4.28,0.06,0.09,0.1,0.0,0.02,0.05,14.2,14.33,14.65
2M05443627+0951439,86.151134,9.862199,lambdaOrion,3451.0,3473.0,3533.0,3.59,3.7,3.79,-0.07,0.01,0.05,-0.1,-0.09,-0.07,29.52,30.19,31.46
2M03403148+2333024,55.131196,23.550671,Pleyades,3749.0,3763.0,3856.0,4.38,4.65,4.74,-0.11,0.08,0.13,-0.08,-0.07,-0.05,15.38,16.49,19.35
2M03403436+2340574,55.143183,23.682613,Pleyades,5373.0,5420.0,5463.0,4.4,4.44,4.47,0.02,0.04,0.06,0.02,0.04,0.05,14.85,14.93,15.41
2M03405042+2325064,55.210121,23.418465,Pleyades,5490.0,5504.0,5578.0,4.33,4.35,4.4,-0.09,-0.08,-0.05,-0.08,-0.07,-0.05,14.94,15.04,15.54
2M03405126+2335543,55.213595,23.598438,Pleyades,4558.0,4573.0,4614.0,4.68,4.72,4.73,0.12,0.14,0.14,0.0,0.02,0.03,14.15,14.28,14.63
2M03410297+2343217,55.262409,23.722698,Pleyades,3366.0,3377.0,3407.0,4.77,4.89,4.93,0.05,0.17,0.19,-0.07,-0.06,-0.05,15.24,15.56,16.88
2M03412782+2342300,55.365918,23.708357,Pleyades,5247.0,5290.0,5319.5,4.39,4.42,4.44,0.08,0.1,0.11,0.04,0.06,0.07,14.27,14.37,14.69
2M03413616+2537095,55.400674,25.619331,Pleyades,5341.0,5426.0,5620.0,3.81,3.91,4.06,-0.33,-0.28,-0.18,0.0,0.04,0.07,39.87,41.44,42.61
2M03415906+2555153,55.496101,25.920921,Pleyades,4604.0,4621.0,4656.0,4.39,4.44,4.49,0.06,0.07,0.08,0.0,0.01,0.04,14.57,14.71,15.12
2M03420286+2412363,55.511931,24.21011,Pleyades,3463.0,3470.0,3503.0,4.15,4.17,4.27,-0.09,-0.07,-0.03,-0.08,-0.07,-0.05,34.1,34.91,35.75
2M03420291+2355538,55.512161,23.931625,Pleyades,3288.0,3300.0,3384.0,4.11,4.15,4.23,0.14,0.19,0.25,-0.08,-0.07,-0.05,24.84,25.57,27.05
2M03420329+2432134,55.513731,24.537067,Pleyades,3426.0,3459.0,3495.0,4.19,4.24,4.34,-0.09,-0.03,0.09,-0.08,-0.07,-0.05,15.92,17.03,19.02
2M03420470+2553091,55.519609,25.885885,Pleyades,4613.0,4623.0,4705.0,4.47,4.53,4.59,0.06,0.07,0.09,0.0,0.01,0.04,14.53,14.75,15.24
2M03420883+2335171,55.536825,23.588104,Pleyades,3477.0,3494.0,3556.0,4.09,4.15,4.3,0.03,0.05,0.15,-0.09,-0.08,-0.06,15.06,15.44,17.22
2M03422153+2439527,55.589748,24.66466,Pleyades,3895.0,3915.0,3992.0,4.2,4.24,4.27,-0.1,-0.09,-0.05,-0.07,-0.06,-0.03,15.63,15.97,17.67
2M03422628+2253408,55.609533,22.894669,Pleyades,4113.0,4193.0,4280.0,4.72,4.8,4.89,-0.03,0.03,0.11,0.0,0.11,0.15,14.59,14.99,16.53
2M03422759+2502492,55.614992,25.047003,Pleyades,4606.0,4623.0,4675.0,4.44,4.54,4.59,0.07,0.08,0.1,0.0,0.01,0.03,14.4,14.63,15.07
2M03422864+2501004,55.619373,25.016804,Pleyades,3436.0,3455.0,3491.0,4.21,4.25,4.35,-0.12,-0.1,-0.02,-0.08,-0.07,-0.06,19.96,21.5,23.06
2M03424379+2532064,55.682472,25.535126,Pleyades,3297.0,3306.0,3418.0,4.25,4.31,4.36,-0.02,0.14,0.17,-0.09,-0.08,-0.06,14.73,15.19,16.22
2M03430293+2440110,55.76223,24.669737,Pleyades,5042.0,5092.0,5122.0,4.42,4.47,4.53,0.07,0.09,0.11,-0.04,-0.02,0.01,14.53,14.63,15.04
2M03431211+2444453,55.800497,24.745924,Pleyades,3196.0,3201.0,3260.0,3.83,3.84,3.96,-0.07,-0.03,0.0,-0.13,-0.12,-0.1,34.03,34.79,35.66
2M03432820+2453311,55.867512,24.891987,Pleyades,3289.0,3298.0,3333.0,4.3,4.34,4.39,0.02,0.14,0.15,-0.09,-0.08,-0.07,28.54,29.6,31.05
2M03433413+2535261,55.89223,25.590605,Pleyades,3284.0,3298.0,3335.0,4.29,4.36,4.4,0.01,0.14,0.16,-0.11,-0.1,-0.08,15.63,16.24,18.03
2M03433659+2327142,55.902487,23.453957,Pleyades,4028.0,4053.0,4099.0,4.68,4.72,4.75,0.09,0.13,0.14,-0.05,-0.03,0.01,15.72,16.23,17.91
2M03433692+2423382,55.903838,24.39395,Pleyades,3974.0,4000.0,4103.0,4.3,4.36,4.56,-0.05,0.0,0.07,-0.06,-0.06,-0.02,24.75,25.26,26.5
2M03433772+2332096,55.907204,23.536011,Pleyades,5455.0,5498.0,5548.0,4.38,4.41,4.46,-0.09,-0.06,-0.05,-0.08,-0.07,-0.06,15.27,15.36,15.85
2M03434371+2429157,55.932129,24.487719,Pleyades,3389.0,3453.0,3490.0,4.15,4.24,4.3,-0.06,0.02,0.15,-0.1,-0.08,-0.06,13.41,14.61,15.6
2M03434496+2303213,55.937357,23.05592,Pleyades,3452.0,3473.0,3535.0,4.24,4.25,4.37,-0.18,-0.13,-0.12,-0.07,-0.06,-0.04,14.51,14.8,15.73
2M03434860+2332218,55.9525,23.539402,Pleyades,4265.0,4291.0,4375.0,4.28,4.39,4.63,-0.09,-0.07,-0.01,-0.03,-0.01,0.04,11.28,13.68,14.58
2M03434901+2543466,55.954216,25.729616,Pleyades,4815.0,4866.0,4905.0,4.24,4.31,4.39,-0.03,0.0,0.02,0.04,0.06,0.08,15.36,15.52,16.11
2M03435214+2450298,55.967272,24.841614,Pleyades,4028.0,4054.0,4094.0,4.59,4.67,4.76,0.03,0.08,0.11,-0.04,-0.02,0.01,14.82,15.35,16.96
2M03435569+2425350,55.982058,24.42639,Pleyades,3831.0,3853.0,3921.0,4.24,4.29,4.45,-0.07,-0.02,0.04,-0.07,-0.06,-0.02,14.67,15.0,16.21
2M03435668+2515441,55.986196,25.26NGC2264,Pleyades,3509.0,3524.0,3562.0,4.17,4.18,4.24,-0.01,0.0,0.02,-0.09,-0.09,-0.06,14.88,14.99,16.65
2M03435669+2459367,55.986245,24.993528,Pleyades,3456.0,3465.0,3513.0,4.18,4.21,4.31,-0.09,-0.07,-0.01,-0.09,-0.07,-0.06,14.3,14.49,15.19
2M03440059+2332382,56.002471,23.543961,Pleyades,5409.0,5441.0,5533.0,4.24,4.28,4.36,-0.08,-0.06,-0.03,0.03,0.05,0.08,16.01,16.29,16.88
2M03440227+2503537,56.009483,25.064943,Pleyades,3474.0,3488.0,3564.0,4.14,4.17,4.27,-0.1,-0.07,-0.05,-0.07,-0.06,-0.03,14.44,14.64,15.51
2M03440353+2430151,56.014746,24.504206,Pleyades,5027.0,5147.0,5258.0,4.02,4.11,4.2,-0.22,-0.16,-0.12,-0.06,-0.01,0.07,39.51,40.32,42.38
2M03440484+2416318,56.020167,24.275501,Pleyades,5044.0,5068.0,5124.5,4.35,4.37,4.41,-0.07,-0.06,-0.03,0.01,0.02,0.03,15.09,15.19,15.75
2M03440509+2529017,56.021221,25.483807,Pleyades,4668.0,4691.0,4755.0,4.41,4.46,4.55,-0.05,-0.04,-0.01,0.01,0.02,0.04,14.35,14.5,14.89
2M03440959+2435222,56.039978,24.58952,Pleyades,3354.0,3391.0,3421.0,4.27,4.35,4.42,-0.3,-0.24,-0.19,0.0,0.05,0.07,11.32,13.03,14.47
2M03441120+2322455,56.04669,23.37933,Pleyades,4834.0,4861.0,4959.0,4.26,4.32,4.38,-0.08,-0.06,-0.04,0.0,0.02,0.06,20.58,20.86,21.51
2M03441307+2401509,56.054464,24.030828,Pleyades,6048.0,6665.0,7224.0,3.04,3.62,4.22,-1.01,-0.36,0.24,-0.47,-0.19,0.12,13.14,25.06,35.22
2M03441391+2446457,56.05798,24.779388,Pleyades,5587.0,5598.0,5671.0,4.25,4.27,4.32,-0.09,-0.08,-0.04,0.0,0.03,0.05,14.19,14.3,14.57
2M03441466+2406065,56.061119,24.101816,Pleyades,5473.0,5485.0,5571.0,4.21,4.24,4.28,-0.1,-0.09,-0.06,-0.01,0.03,0.05,20.15,20.35,20.92
2M03442008+2447461,56.083687,24.796156,Pleyades,4871.0,4935.0,5051.5,3.89,3.96,4.07,-0.21,-0.18,-0.14,0.07,0.1,0.12,40.61,42.31,42.6
2M03442481+2446062,56.103379,24.76841,Pleyades,3528.0,3542.0,3640.0,4.07,4.1,4.25,0.02,0.04,0.06,-0.08,-0.07,-0.05,25.97,27.16,28.61
2M03442559+2440528,56.106631,24.681358,Pleyades,3370.0,3394.0,3483.0,4.42,4.66,4.76,-0.21,-0.06,0.04,-0.05,-0.03,0.03,14.69,15.03,17.63
2M03442627+2435229,56.109485,24.589705,Pleyades,4643.0,4662.0,4700.0,4.18,4.19,4.22,-0.11,-0.1,-0.08,0.05,0.07,0.08,24.37,24.54,25.16
2M03443006+2535470,56.125288,25.596395,Pleyades,3845.0,3855.0,3879.0,4.64,4.72,4.74,0.11,0.14,0.17,-0.04,-0.03,-0.01,19.45,19.89,21.17
2M03443627+2330112,56.151163,23.50313,Pleyades,3328.0,3443.0,3530.0,4.18,4.29,4.43,-0.13,0.11,0.24,-0.1,-0.07,-0.03,17.56,20.25,24.76
2M03443741+2508160,56.155898,25.137793,Pleyades,4364.0,4377.0,4435.0,4.34,4.38,4.6,-0.03,-0.02,0.06,-0.02,-0.01,0.01,14.29,14.59,15.17
2M03444075+2449067,56.1698,24.818542,Pleyades,5880.0,5928.0,5947.5,4.19,4.22,4.25,-0.07,-0.05,-0.04,-0.06,-0.04,-0.03,23.63,23.76,24.04
2M03444394+2529574,56.183106,25.499289,Pleyades,4895.0,4934.0,5083.0,4.32,4.39,4.46,0.01,0.03,0.07,-0.02,0.03,0.06,14.65,14.77,15.18
2M03444398+2413523,56.183251,24.231215,Pleyades,5295.0,5309.0,5347.0,4.4,4.42,4.45,-0.03,-0.02,-0.01,-0.04,-0.03,-0.01,14.26,14.38,14.63
2M03445123+2316082,56.213483,23.268969,Pleyades,6013.0,6218.0,6413.0,3.93,4.14,4.37,-0.42,-0.33,-0.22,-0.11,-0.06,-0.03,28.84,29.1,30.09
2M03445383+2355165,56.224305,23.921267,Pleyades,5611.0,5624.0,5709.0,4.15,4.2,4.25,-0.14,-0.12,-0.08,0.0,0.02,0.04,25.42,25.71,26.24
2M03445639+2425574,56.234988,24.432623,Pleyades,5594.0,5615.0,5647.0,4.16,4.2,4.24,-0.12,-0.11,-0.09,-0.1,-0.08,-0.05,21.35,21.73,22.9
2M03445895+2323202,56.245649,23.388964,Pleyades,4098.0,4106.0,4160.0,4.66,4.69,4.71,0.07,0.11,0.12,-0.05,-0.05,-0.01,14.72,14.82,15.85
2M03450326+2350219,56.263602,23.839439,Pleyades,5083.0,5107.0,5130.0,4.53,4.55,4.58,0.05,0.06,0.07,0.01,0.03,0.04,13.6,14.16,14.26
2M03450400+2515282,56.266691,25.257841,Pleyades,5522.0,5555.0,5584.0,4.28,4.32,4.36,-0.07,-0.05,-0.03,-0.03,0.03,0.04,16.39,16.61,17.38
2M03450528+2342097,56.272009,23.702707,Pleyades,6469.0,6533.0,6560.0,4.27,4.32,4.34,-0.18,-0.15,-0.15,-0.03,-0.01,0.0,23.89,24.01,24.43
2M03450531+2529112,56.27214,25.486446,Pleyades,3405.0,3441.0,3485.0,4.2,4.28,4.33,0.0,0.09,0.16,-0.1,-0.09,-0.07,14.73,15.31,16.79
2M03451198+2435103,56.299944,24.586195,Pleyades,4080.0,4111.0,4154.0,4.65,4.71,4.75,0.08,0.11,0.14,-0.06,-0.03,0.01,15.14,15.67,17.72
2M03451664+2434325,56.319364,24.575706,Pleyades,3351.0,3451.0,3481.0,4.25,4.54,4.72,0.03,0.18,0.23,-0.07,-0.05,-0.03,25.38,26.9,30.59
2M03452219+2328182,56.342478,23.471731,Pleyades,4824.0,4851.0,4920.0,4.43,4.46,4.64,-0.01,0.01,0.04,-0.04,-0.03,-0.02,12.13,14.1,14.22
2M03452412+2453095,56.350531,24.885977,Pleyades,5670.0,5719.0,5747.0,3.99,4.03,4.1,-0.33,-0.3,-0.29,-0.17,-0.16,-0.13,35.81,37.51,37.84
2M03453671+2439068,56.402985,24.651894,Pleyades,3201.0,3253.0,3305.0,3.83,4.14,4.26,-0.03,0.15,0.24,-0.13,-0.11,-0.09,38.6,41.49,43.41
2M03454407+2404268,56.433651,24.07412,Pleyades,4055.0,4090.0,4134.0,4.68,4.75,4.77,0.09,0.13,0.14,-0.04,-0.02,0.01,14.29,14.53,15.59
2M03460381+2527108,56.515878,25.453009,Pleyades,3996.0,4057.0,4110.0,4.41,4.55,4.69,-0.09,-0.06,0.05,-0.04,-0.03,0.03,14.53,14.93,16.32
2M03460649+2434027,56.527062,24.567419,Pleyades,4606.0,4622.0,4677.0,4.44,4.53,4.58,0.07,0.08,0.1,0.0,0.01,0.03,14.28,14.48,14.81
2M03460689+2433461,56.528742,24.562807,Pleyades,4455.0,4467.0,4526.0,4.33,4.35,4.43,0.04,0.05,0.07,-0.01,0.0,0.02,14.56,14.74,15.28
2M03460750+2422278,56.531266,24.374397,Pleyades,3775.0,3791.0,3867.0,4.23,4.25,4.37,-0.13,-0.1,-0.06,-0.07,-0.06,-0.04,14.51,14.7,15.75
2M03460836+2320510,56.534868,23.347509,Pleyades,4155.0,4166.0,4211.0,4.64,4.69,4.71,0.09,0.13,0.14,-0.06,-0.05,-0.02,15.02,15.23,16.48
2M03461174+2437203,56.548937,24.622314,Pleyades,4929.0,4961.0,5066.0,4.22,4.25,4.33,-0.1,-0.09,-0.05,0.01,0.03,0.05,14.5,14.6,15.02
2M03461286+2403158,56.55359,24.054396,Pleyades,4031.0,4047.0,4110.0,4.6,4.66,4.67,0.09,0.12,0.14,-0.06,-0.04,0.0,23.66,24.04,25.28
2M03461799+2329119,56.574959,23.486664,Pleyades,6092.0,6140.0,6244.0,4.44,4.48,4.54,-0.12,-0.08,-0.04,-0.12,-0.1,-0.08,37.41,37.8,38.02
2M03462047+2447077,56.585297,24.78548,Pleyades,4155.0,4167.0,4210.0,4.63,4.67,4.72,0.07,0.11,0.12,-0.05,-0.04,-0.01,12.33,14.18,14.68
2M03462267+2434126,56.59448,24.570177,Pleyades,5799.0,5926.0,6056.0,4.41,4.54,4.62,-0.02,0.06,0.11,-0.08,-0.06,-0.03,15.59,15.77,16.39
2M03462735+2508080,56.613966,25.135563,Pleyades,5672.0,5799.0,5866.0,4.38,4.44,4.56,-0.05,0.02,0.04,-0.09,-0.07,-0.04,15.68,15.82,16.42
2M03462777+2335337,56.615739,23.592699,Pleyades,4453.0,4458.0,4557.0,4.19,4.2,4.26,-0.1,-0.1,-0.08,0.04,0.05,0.07,15.88,16.04,16.82
2M03462841+2426021,56.618376,24.433918,Pleyades,4927.0,5037.0,5084.0,4.18,4.28,4.33,-0.23,-0.2,-0.18,-0.08,-0.06,-0.04,37.8,38.15,38.46
2M03462862+2445323,56.619257,24.758995,Pleyades,4052.0,4093.0,4127.0,4.63,4.71,4.77,0.07,0.12,0.14,-0.06,-0.03,-0.01,12.01,13.46,15.01
2M03463479+2256077,56.644974,22.93549,Pleyades,3862.0,3872.0,3931.0,4.62,4.67,4.71,0.1,0.16,0.17,-0.04,-0.04,-0.01,14.37,15.03,16.51
2M03463532+2324424,56.647173,23.411779,Pleyades,3881.0,3891.0,3998.0,4.56,4.59,4.61,0.12,0.2,0.2,-0.07,-0.06,-0.03,24.84,25.52,26.85
2M03463878+2457346,56.661587,24.959629,Pleyades,5845.0,5882.0,5955.0,4.37,4.41,4.46,-0.12,-0.09,-0.06,-0.12,-0.1,-0.08,23.82,23.98,24.35
2M03463889+2431132,56.662043,24.520344,Pleyades,4442.0,4453.0,4509.0,4.67,4.71,4.73,0.11,0.13,0.14,0.02,0.03,0.05,14.09,14.21,14.61
2M03463932+2406116,56.663857,24.103243,Pleyades,6319.0,6354.0,6495.0,4.57,4.65,4.71,-0.12,-0.1,-0.03,-0.15,-0.12,-0.09,33.11,33.42,33.85
2M03463938+2401468,56.664103,24.029688,Pleyades,4643.0,4677.0,4736.0,4.38,4.44,4.51,0.0,0.02,0.04,-0.05,-0.03,-0.03,14.18,14.35,14.63
2M03463999+2306373,56.666655,23.110371,Pleyades,6177.0,6355.0,6478.0,4.34,4.53,4.63,-0.2,-0.11,-0.04,-0.11,-0.07,-0.04,34.48,34.82,35.42
2M03464706+2254525,56.696086,22.914593,Pleyades,5574.0,5623.0,5718.0,4.25,4.35,4.42,-0.12,-0.1,-0.05,-0.12,-0.09,-0.07,19.96,20.15,20.75
2M03465403+2514449,56.725129,25.245825,Pleyades,3456.0,3464.0,3518.0,4.13,4.19,4.25,-0.04,0.01,0.02,-0.09,-0.08,-0.05,14.06,14.43,15.29
2M03465491+2447468,56.728828,24.796349,Pleyades,5593.0,5613.0,5679.0,4.3,4.36,4.42,-0.12,-0.1,-0.06,-0.05,-0.02,0.01,12.27,14.06,14.25
2M03465709+2315025,56.737888,23.250708,Pleyades,3650.0,3654.0,3740.0,4.13,4.17,4.24,0.01,0.08,0.11,-0.08,-0.07,-0.03,29.83,30.81,33.44
2M03470141+2329419,56.75591,23.494984,Pleyades,5180.0,5206.0,5264.0,4.39,4.42,4.47,0.02,0.03,0.06,0.01,0.04,0.05,14.28,14.4,14.64
2M03470813+2418246,56.783913,24.30686,Pleyades,3299.0,3315.0,3374.0,4.39,4.47,4.54,0.0,0.07,0.12,-0.07,-0.06,-0.05,14.43,14.74,15.9
2M03471365+2349535,56.806914,23.831533,Pleyades,3299.0,3398.0,3465.0,4.2,4.27,4.33,-0.11,0.0,0.17,-0.09,-0.08,-0.06,39.01,43.06,44.43
2M03471480+2522186,56.811691,25.37184,Pleyades,4852.0,4870.0,4938.0,4.31,4.38,4.47,-0.13,-0.12,-0.09,0.0,0.02,0.04,14.81,14.98,15.44
2M03471935+2408208,56.830625,24.139126,Pleyades,6413.0,6474.0,6501.0,3.66,3.71,3.75,-0.47,-0.44,-0.42,-0.02,0.0,0.02,24.22,24.76,25.52
2M03472083+2505123,56.836802,25.086767,Pleyades,3644.0,3707.0,3725.0,4.34,4.41,4.46,-0.01,0.01,0.09,-0.08,-0.06,-0.04,13.69,14.3,14.91
2M03472296+2450562,56.845684,24.848961,Pleyades,3249.0,3296.0,3326.0,4.29,4.33,4.36,0.11,0.18,0.21,-0.12,-0.11,-0.1,25.58,26.52,28.7
2M03473800+2328051,56.908342,23.468096,Pleyades,4365.0,4381.0,4422.0,4.71,4.75,4.79,0.03,0.07,0.09,0.04,0.08,0.12,14.12,14.46,15.26
2M03474044+2421525,56.918539,24.364594,Pleyades,5434.0,5460.0,5548.0,4.13,4.16,4.22,-0.03,0.0,0.03,-0.06,-0.05,-0.03,19.99,20.13,20.57
2M03475094+2430188,56.96225,24.505238,Pleyades,3496.0,3553.0,3605.0,4.28,4.65,4.73,-0.1,0.01,0.12,-0.07,-0.05,-0.04,19.69,20.46,23.1
2M03475252+2356286,56.968837,23.941282,Pleyades,5955.0,5999.0,6126.0,4.26,4.33,4.42,-0.11,-0.09,-0.03,-0.06,-0.03,-0.01,23.98,24.13,24.5
2M03480581+2302030,57.024237,23.034182,Pleyades,3433.0,3453.0,3507.0,4.24,4.31,4.38,-0.11,-0.04,0.02,-0.07,-0.06,-0.04,14.63,15.09,16.04
2M03480796+2344238,57.033187,23.739946,Pleyades,3209.0,3250.0,3289.0,4.08,4.16,4.23,-0.24,-0.18,-0.16,-0.1,-0.09,-0.07,19.06,19.31,19.94
2M03481686+2512546,57.070268,25.21517,Pleyades,5796.0,5816.0,5841.0,3.83,3.85,3.9,-0.34,-0.32,-0.31,-0.11,-0.1,-0.09,28.29,28.49,28.76
2M03481712+2353253,57.071342,23.890385,Pleyades,5562.0,5620.0,5640.5,4.27,4.36,4.39,-0.12,-0.1,-0.07,-0.11,-0.09,-0.07,16.65,16.88,17.51
2M03481729+2430160,57.072042,24.504456,Pleyades,4059.0,4077.0,4119.0,4.68,4.76,4.78,0.07,0.12,0.13,-0.04,-0.02,0.0,14.11,14.41,15.45
2M03481983+2336121,57.082628,23.603373,Pleyades,3062.0,3094.0,3196.0,4.16,4.36,4.64,-0.33,-0.17,0.0,-0.25,-0.25,-0.22,20.78,23.76,29.85
