ID,RA,DEC,REGION,t25,t50,t75,g25,g50,g75,m25,m50,m75,a25,a50,a75,v25,v50,v75
2M05391453-0219367,84.810561,-2.326865,OrionBOB1,3551.0,3583.0,3656.0,3.62,3.7,3.76,-0.2,-0.18,-0.09,-0.1,-0.08,-0.06,14.87,15.17,16.7
2M05392044-0227368,84.83518,-2.460224,OrionBOB1,3484.0,3521.0,3541.0,3.73,3.81,3.85,-0.08,0.0,0.02,-0.07,-0.06,-0.03,19.57,20.52,21.72
2M05392286-0233330,84.845284,-2.559183,OrionBOB1,3468.0,3493.0,3554.0,3.61,3.7,3.81,-0.1,-0.06,0.02,-0.07,-0.06,-0.04,14.69,14.97,15.98
2M05392650-0252152,84.860425,-2.870904,OrionBOB1,3309.0,3316.0,3349.0,3.29,3.31,3.44,-0.26,-0.25,-0.21,-0.04,-0.03,0.01,20.73,21.47,22.89
2M05392791-0155493,84.866314,-1.930381,OrionBOB1,4064.0,4088.0,4128.0,3.91,4.02,4.09,-0.12,-0.1,-0.05,-0.05,-0.03,0.0,14.55,14.82,15.51
2M05392883-0217513,84.870137,-2.297601,OrionBOB1,3248.0,3269.0,3327.75,3.45,3.56,3.61,-0.02,0.01,0.05,-0.09,-0.07,-0.06,14.64,14.84,16.0
2M05393256-0239440,84.885707,-2.662225,OrionBOB1,3955.0,3993.0,4055.0,3.6,3.68,3.75,-0.22,-0.2,-0.18,-0.08,-0.07,-0.04,38.53,39.32,40.02
2M05393729-0226567,84.905399,-2.4491,OrionBOB1,3915.0,3927.0,3983.0,3.71,3.75,3.78,-0.18,-0.14,-0.13,-0.07,-0.06,-0.04,34.1,34.59,35.5
2M05394799-0240320,84.949965,-2.675576,OrionBOB1,3529.0,3547.0,3616.0,3.4,3.42,3.51,-0.38,-0.35,-0.33,-0.05,-0.04,0.02,28.5,28.71,29.47
2M05395236-0236147,84.968207,-2.604105,OrionBOB1,3466.0,3505.0,3538.0,3.63,3.77,3.9,-0.25,-0.16,-0.06,-0.06,-0.04,0.03,39.97,42.68,44.44
2M05395248-0232023,84.968675,-2.533974,OrionBOB1,3838.0,3850.0,3925.0,3.74,3.78,3.82,-0.14,-0.09,-0.07,-0.1,-0.09,-0.06,14.88,15.18,16.43
2M05395602-0251228,84.983435,-2.856337,OrionBOB1,3305.0,3316.0,3348.0,3.3,3.35,3.41,-0.33,-0.25,-0.24,-0.04,-0.03,0.02,34.07,34.9,36.15
2M05395825-0226188,84.992733,-2.438566,OrionBOB1,3363.0,3370.0,3440.0,3.61,3.64,3.72,-0.11,-0.08,-0.05,-0.04,-0.04,-0.01,14.4,14.57,15.35
2M05395946-0216522,84.997787,-2.281183,OrionBOB1,3140.0,3174.0,3221.0,2.98,3.03,3.1,-0.57,-0.49,-0.35,-0.09,-0.07,-0.06,29.04,29.74,30.89
2M05400338-0229014,85.014094,-2.483735,OrionBOB1,3783.0,3854.0,3887.0,3.55,3.6,3.66,-0.19,-0.16,-0.13,-0.08,-0.06,-0.04,14.8,15.01,16.08
2M05400856-0242167,85.035685,-2.70466,OrionBOB1,4113.0,4130.0,4183.0,4.04,4.12,4.14,-0.11,-0.07,-0.06,-0.07,-0.06,-0.03,16.59,17.54,19.14
2M05401329-0235419,85.055411,-2.594993,OrionBOB1,4418.0,4434.0,4477.0,4.31,4.38,4.45,-0.01,0.02,0.04,0.09,0.11,0.13,31.09,32.89,33.08
